"citizen","time","value"
"Eritrea",2012-01-01,775
"Eritrea",2012-02-01,680
"Eritrea",2012-03-01,840
"Eritrea",2012-04-01,690
"Eritrea",2012-05-01,790
"Eritrea",2012-06-01,1050
"Eritrea",2012-07-01,1075
"Eritrea",2012-08-01,1005
"Eritrea",2012-09-01,1120
"Eritrea",2012-10-01,1350
"Eritrea",2012-11-01,1405
"Eritrea",2012-12-01,915
"Eritrea",2013-01-01,1065
"Eritrea",2013-02-01,785
"Eritrea",2013-03-01,875
"Eritrea",2013-04-01,750
"Eritrea",2013-05-01,790
"Eritrea",2013-06-01,795
"Eritrea",2013-07-01,2050
"Eritrea",2013-08-01,2795
"Eritrea",2013-09-01,2595
"Eritrea",2013-10-01,2765
"Eritrea",2013-11-01,2600
"Eritrea",2013-12-01,2060
"Eritrea",2014-01-01,1690
"Eritrea",2014-02-01,965
"Eritrea",2014-03-01,1215
"Eritrea",2014-04-01,3015
"Eritrea",2014-05-01,5615
"Eritrea",2014-06-01,5535
"Eritrea",2014-07-01,7760
"Eritrea",2014-08-01,6340
"Eritrea",2014-09-01,5205
"Eritrea",2014-10-01,4155
"Eritrea",2014-11-01,2655
"Eritrea",2014-12-01,1730
"Eritrea",2015-01-01,1480
"Eritrea",2015-02-01,1070
"Eritrea",2015-03-01,1280
"Eritrea",2015-04-01,1845
"Eritrea",2015-05-01,4920
"Eritrea",2015-06-01,6535
"Eritrea",2015-07-01,6550
"Eritrea",2015-08-01,6185
"Eritrea",2015-09-01,5155
"Georgia",2008-01-01,80
"Georgia",2008-02-01,105
"Georgia",2008-03-01,85
"Georgia",2008-04-01,105
"Georgia",2008-05-01,90
"Georgia",2008-06-01,95
"Georgia",2008-07-01,110
"Georgia",2008-08-01,185
"Georgia",2008-09-01,250
"Georgia",2008-10-01,210
"Georgia",2008-11-01,210
"Georgia",2008-12-01,160
"Georgia",2009-01-01,185
"Georgia",2009-02-01,195
"Georgia",2009-03-01,200
"Georgia",2009-04-01,195
"Georgia",2009-05-01,240
"Georgia",2009-06-01,1065
"Georgia",2009-07-01,1270
"Georgia",2009-08-01,1745
"Georgia",2009-09-01,715
"Georgia",2009-10-01,525
"Georgia",2009-11-01,490
"Georgia",2009-12-01,550
"Georgia",2010-01-01,450
"Georgia",2010-02-01,420
"Georgia",2010-03-01,590
"Georgia",2010-04-01,440
"Georgia",2010-05-01,360
"Georgia",2010-06-01,350
"Georgia",2010-07-01,395
"Georgia",2010-08-01,420
"Georgia",2010-09-01,380
"Georgia",2010-10-01,450
"Georgia",2010-11-01,390
"Georgia",2010-12-01,355
"Georgia",2011-01-01,355
"Georgia",2011-02-01,420
"Georgia",2011-03-01,475
"Georgia",2011-04-01,385
"Georgia",2011-05-01,465
"Georgia",2011-06-01,490
"Georgia",2011-07-01,570
"Georgia",2011-08-01,600
"Georgia",2011-09-01,655
"Georgia",2011-10-01,625
"Georgia",2011-11-01,650
"Georgia",2011-12-01,680
"Georgia",2012-01-01,580
"Georgia",2012-02-01,645
"Georgia",2012-03-01,750
"Georgia",2012-04-01,760
"Georgia",2012-05-01,790
"Georgia",2012-06-01,815
"Georgia",2012-07-01,960
"Georgia",2012-08-01,1005
"Georgia",2012-09-01,1250
"Georgia",2012-10-01,1215
"Georgia",2012-11-01,915
"Georgia",2012-12-01,820
"Georgia",2013-01-01,785
"Georgia",2013-02-01,715
"Georgia",2013-03-01,730
"Georgia",2013-04-01,710
"Georgia",2013-05-01,500
"Georgia",2013-06-01,730
"Georgia",2013-07-01,800
"Georgia",2013-08-01,695
"Georgia",2013-09-01,720
"Georgia",2013-10-01,865
"Georgia",2013-11-01,715
"Georgia",2013-12-01,660
"Georgia",2014-01-01,685
"Georgia",2014-02-01,610
"Georgia",2014-03-01,665
"Georgia",2014-04-01,640
"Georgia",2014-05-01,595
"Georgia",2014-06-01,620
"Georgia",2014-07-01,720
"Georgia",2014-08-01,665
"Georgia",2014-09-01,710
"Georgia",2014-10-01,740
"Georgia",2014-11-01,630
"Georgia",2014-12-01,600
"Georgia",2015-01-01,580
"Georgia",2015-02-01,480
"Georgia",2015-03-01,575
"Georgia",2015-04-01,560
"Georgia",2015-05-01,540
"Georgia",2015-06-01,735
"Georgia",2015-07-01,525
"Georgia",2015-08-01,455
"Georgia",2015-09-01,680
"Iran",2008-01-01,580
"Iran",2008-02-01,420
"Iran",2008-03-01,395
"Iran",2008-04-01,390
"Iran",2008-05-01,400
"Iran",2008-06-01,420
"Iran",2008-07-01,535
"Iran",2008-08-01,620
"Iran",2008-09-01,735
"Iran",2008-10-01,705
"Iran",2008-11-01,690
"Iran",2008-12-01,610
"Iran",2009-01-01,630
"Iran",2009-02-01,465
"Iran",2009-03-01,410
"Iran",2009-04-01,450
"Iran",2009-05-01,355
"Iran",2009-06-01,395
"Iran",2009-07-01,580
"Iran",2009-08-01,625
"Iran",2009-09-01,795
"Iran",2009-10-01,765
